title,year,genre,duration
Mockery,1927,Drama,75
Mr. Wu,1927,Drama,91
My Best Girl,1927,Comedy,80
Napoleone,1927,Biography,240
Ottobre!,1927,Drama,142
Il re del sottosuolo,1927,Drama,88
Il mio cuore aveva ragione,1927,Comedy,70
Passione di principe,1927,Comedy,76
Ferro e fuoco,1927,Drama,150
Potseluy Meri Pikford,1927,Comedy,56
Quality Street,1927,Comedy,115
The Red Mill,1927,Comedy,74
Vinci per me!,1927,Drama,116
Running Wild,1927,Comedy,68
The Scar of Shame,1927,Crime,68
Settimo cielo,1927,Drama,110
A Ship Comes In,1928,Drama,70
Shooting Stars,1928,Drama,80
The Show,1927,Crime,76
Slide Kelly Slide,1927,Comedy,80
Spring Fever,1927,Comedy,78
Il principe studente,1927,Drama,106
Sumka dipkuryera,1927,Thriller,50
Aurora,1927,Drama,94
Tarzan and the Golden Lion,1927,Action,57
Tell It to the Marines,1926,Comedy,103
Three's a Crowd,1927,Comedy,60
Tillie the Toiler,1927,Comedy,70
Tretya meshchanskaya,1927,Comedy,86
Twelve Miles Out,1927,Drama,85
Notte d'Arabia,1927,Adventure,92
Un cappello di paglia di Firenze,1928,Comedy,108
Uncle Tom's Cabin,1927,Drama,144
Le notti di Chicago,1927,Crime,80
Lo sconosciuto,1927,Drama,63
Controcorrente,1927,Comedy,60
When a Man Loves,1927,History,111
Ali,1927,Drama,144
Winners of the Wilderness,1927,Drama,68
Enigma,1929,Drama,76
Xi xiang ji,1927,Drama,49
Crisi,1928,Drama,107
Amore e mare,1928,Drama,85
La battaglia dei sessi,1928,Comedy,88
I mendicanti della vita,1928,Adventure,100
Bringing Up Father,1928,Comedy,70
Il vaso di Pandora,1929,Crime,109
Il cameraman,1928,Comedy,76
Il fidanzato di cartone,1928,Comedy,50
Tabarin di lusso,1928,Comedy,86
La caduta della casa Usher,1928,Horror,63
Il circo,1928,Comedy,72
I cosacchi,1928,Drama,92
I due timidi,1928,Comedy,87
La donna divina,1928,Drama,80
I dannati dell'oceano,1928,Crime,76
La casa sulla Trubnaja,1928,Comedy,64
Eliso,1928,Drama,90
